,category_code_description,market_value,parcel_number,sale_date,sale_price,total_area,taxable_building,taxable_land,zip_code,zoning,lat,lng,tax_assessment,sales_ratio
182966,Single Family,70800.0,291070800,2018-07-31,78000.0,598.0,49560.0,21240.0,191214723,RM1  ,39.9760216787423,-75.1756958726458,70800.0,0.9076923076923077
182973,Single Family,132800.0,291219400,2018-07-09,55000.0,1159.0,92981.0,39819.0,191212839,RSA5 ,39.979440851244604,-75.17630506545171,132800.0,2.4145454545454546
182979,Single Family,402500.0,291220100,2018-05-24,325000.0,673.03,0.0,114712.0,191212842,RSA5 ,39.979561182206,-75.1769752461584,114712.0,0.35296
182980,Single Family,402500.0,291220200,2018-05-24,325000.0,673.03,0.0,114712.0,191212842,RSA5 ,39.9795673703062,-75.1770171187392,114712.0,0.35296
182981,Single Family,37100.0,282007205,2018-08-29,20000.0,1040.0,30796.0,6304.0,191323020,RSA5 ,39.9936429326299,-75.17957826045071,37100.0,1.855
183006,Single Family,49800.0,291115500,2018-08-07,110000.0,986.17,33400.0,16400.0,191210000,RM1  ,39.97677711140879,-75.1755189801034,49800.0,0.4527272727272727
183007,Single Family,79700.0,291115700,2018-12-06,110000.0,986.17,55821.0,23879.0,191210000,RM1  ,39.9767947494935,-75.17565830070329,79700.0,0.7245454545454545
183021,Single Family,768600.0,301015800,2018-10-11,750000.0,1200.0,549600.0,219000.0,191461321,RM1  ,39.944831577420395,-75.1764673580218,768600.0,1.0248
183023,Single Family,35100.0,301087700,2018-08-31,330000.0,1152.0,28080.0,7020.0,191462227,RM1  ,39.942150748286,-75.16725622519691,35100.0,0.10636363636363637
183075,Single Family,596300.0,301091515,2018-04-04,740000.0,1206.92,417410.0,178890.0,191461815,RSA5 ,39.9429373649942,-75.1727042689572,596300.0,0.8058108108108109
183092,Single Family,379000.0,292277100,2018-05-24,372500.0,756.0,0.0,108015.0,191213615,RSA5 ,39.9784513828732,-75.18386740543991,108015.0,0.2899731543624161
183093,Single Family,379000.0,292277200,2018-05-18,385000.0,756.0,0.0,108015.0,191213615,RSA5 ,39.9784900062405,-75.18385885352879,108015.0,0.28055844155844156
183097,Single Family,379000.0,292277600,2018-04-23,379000.0,756.0,0.0,108015.0,191213615,RSA5 ,39.9786441703168,-75.1838265567186,108015.0,0.285
183098,Single Family,379000.0,292277700,2018-04-16,361100.0,756.0,0.0,108015.0,191213615,RSA5 ,39.9786828031322,-75.1838185080117,108015.0,0.2991276654666297
183106,Single Family,397900.0,301148500,2018-10-30,340000.0,588.75,249791.0,108109.0,191461831,RSA5 ,39.9413457674665,-75.172778938106,357900.0,1.0526470588235295
183135,Single Family,959900.0,301066320,2018-11-16,924900.0,936.38,695515.0,264385.0,191462208,RM1  ,39.9425294547285,-75.1668532683961,959900.0,1.0378419288571739
183136,Single Family,407400.0,301114400,2018-01-26,458125.0,750.0,245180.0,122220.0,191461335,RSA5 ,39.942375947090895,-75.1760502643903,367400.0,0.8019645293315143
183190,Single Family,402500.0,291220300,2018-05-24,325000.0,673.03,0.0,114712.0,191212842,RSA5 ,39.9795722485884,-75.1770600481786,114712.0,0.35296
183194,Single Family,122100.0,311190600,2018-07-19,257500.0,840.0,92308.0,29792.0,191251435,RSA5 ,39.984639227794204,-75.122183078685,122100.0,0.4741747572815534
183210,Single Family,19700.0,281206600,2018-01-25,13000.0,602.0,16745.0,2955.0,191324210,RSA5 ,39.9907310136693,-75.17445408829259,19700.0,1.5153846153846153
183235,Single Family,432400.0,292094700,2018-08-09,439999.0,999.68,309166.0,123234.0,191213616,RSA5 ,39.978235725070704,-75.180783437433,432400.0,0.9827295062034231
183255,Single Family,437100.0,292301400,2018-07-24,415000.0,705.0,0.0,124573.0,191213504,RSA5 ,39.9779175114621,-75.18481714930341,124573.0,0.30017590361445784
183262,Single Family,13600.0,282136000,2018-01-16,10000.0,798.0,10050.0,3550.0,191323344,RSA5 ,39.9923145260624,-75.18311081351641,13600.0,1.36
